UNIDAD;TEMA;AFIRMACION;RESPUESTA
18;SELECCIÓN DE PROVEEDORES;El sourcing, decisión de hacer o comprar, es una responsabilidad primaria pero no exclusiva del CIO;VERDADERO
18;SELECCIÓN DE PROVEEDORES;El sourcing, decisión de hacer o comprar, es una responsabilidad primaria y exclusiva del CIO;FALSO
18;SELECCIÓN DE PROVEEDORES;La cobertura geográfica de un proveedor es de valor cuando el proyecto involucra múltiples localidades donde el proveedor tiene presencia.;VERDADERO
18;SELECCIÓN DE PROVEEDORES;La cobertura geográfica de un proveedor es de valor, ya que las experiencias en un país son siempre trasladables a otros.;FALSO
18;SELECCIÓN DE PROVEEDORES;La cobertura geográfica de un proveedor no siempre es de valor, ya que las experiencias en un país no necesariamente son trasladables a otros.;VERDADERO
18;SELECCIÓN DE PROVEEDORES;Los proveedores con certificaciones en ciertas tecnologías, normalmente cuentan con mejores términos comerciales y soporte que sus competidores, en las tecnologías/productos en los que se han especializado.;VERDADERO
18;SELECCIÓN DE PROVEEDORES;Muchos proveedores globales tanto de equipamiento como de aplicaciones, suelen atender a los clientes más pequeños a través de organizaciones conocidas genéricamente como canales: VAR, Resellers, etc.;VERDADERO
18;SISTEMAS ESTÁNDARES;Debido a las economías de escala logradas por el fabricante de sistemas estándares, y las múltiples organizaciones/necesidades comprendidas, estos sistemas suelen incorporar constantemente mejoras a su robustez y funcionalidad, con el paso del tiempo.;VERDADERO
18;SISTEMAS ESTÁNDARES;Entre los efectos no deseados de los sistemas estándares, se encuentra el hecho que la organización generalmente debe adaptar sus procesos/forma de trabajo a los procesos incluidos dentro del nuevo sistema, o realizar importantes adecuaciones al software.;VERDADERO
18;SISTEMAS ESTÁNDARES;Los sistemas estándares encuentran un campo de aplicación especialmente favorable en aquellas organizaciones con proceso de negocio muy únicos/específicos.;FALSO
18;SISTEMAS ESTÁNDARES;Los sistemas estándares pueden incluir la posibilidad de ser parametrizados para responder a características específicas de la organización.;VERDADERO
18;SISTEMAS ESTÁNDARES;Los sistemas estándares rara vez incorporan las mejores prácticas, ya que las mismas varían de empresa a empresa.;FALSO
18;SISTEMAS ESTÁNDARES;"Los sistemas estándares son programas estandarizados, y cuya aplicación está pensada para un amplio número de organizaciones. Algunos no ofrecen ningún tipo de adaptación; otros permiten una amplia parametrización, y por último, los más elaborados, incluyen herramientas de desarrollo para realizar adaptaciones mayores.";VERDADERO
18;SISTEMAS ESTÁNDARES;Los sistemas estándares suelen incluir las mejores prácticas de una dada industria/actividad, y suelen contar con una base instalada amplia que minimiza la posibilidad de errores y aseguran la continuidad del soporte.;VERDADERO
18;SISTEMAS ESTÁNDARES;Un beneficio no menor de los sistemas estándares, es su disponibilidad (sin tiempos de desarrollo), y los menores costos comparados con una solución a medida o un desarrollo propio.;VERDADERO
19;BYOD;BYOD no trae nuevos desafíos y costos para las organizaciones ya que tanto los costos como la responsabilidad por la seguridad recaen en los propietarios.;FALSO
19;BYOD;BYOD trae nuevos desafíos y costos para las organizaciones al tener que gestionar la seguridad de la información accedida y almacenada en dispositivos heterogéneos donde también reside información personal.;VERDADERO
19;BYOD;Con BYOD los colaboradores de una dada organización no necesitan llevar y saber utilizar dos dispositivos, típicamente diferentes, para acceder a recursos corporativos y personales.;VERDADERO
19;BYOD;En algunas implantaciones de programas para favorecer BYOD, las organizaciones pueden hacerse cargo de parte o todo de los gastos asociados al dispositivo.;VERDADERO
19;BYOD;"Las siglas BYOD hacen referencia a los equipos incorporados al ámbito laboral y/o a los procesos de negocio, traídos por los propios empleados. Del inglés ""Bring Your Own Device"".";VERDADERO
19;BYOD;"Las siglas BYOD hacen referencia a los nuevos equipos: smartphones, iPads, etc. incorporados al ámbito laboral y/o los procesos de negocio. Del inglés ""Better Young than Old Devices"".";FALSO
19;MANUAL DE TELETRABAJO;El Manual de Teletrabajo contiene definiciones que ayudan a entender conceptos básicos sobre teletrabajo, accidente laboral y enfermedad profesional.;VERDADERO
19;MANUAL DE TELETRABAJO;El Manual de Teletrabajo no contiene definiciones sobre conceptos tales como accidente laboral o enfermedad profesional.;FALSO
19;MANUAL DE TELETRABAJO;El Manual de Teletrabajo provee las herramientas necesarias para que el trabajador pueda evaluar si las condiciones de trabajo donde desarrolla su tarea son las pertinentes para preservar su salud y evitar riesgos.;VERDADERO
19;MANUAL DE TELETRABAJO;El Manual de Teletrabajo provee las normas necesarias a cumplir para garantizar las condiciones de trabajo donde el teletrabajador desarrolla su tarea.;FALSO
19;MANUAL DE TELETRABAJO;El Manual de Teletrabajo tiene como objetivo explicar las medidas destinadas a evitar las enfermedades profesionales y accidentes de trabajo, de acuerdo a las características y riesgos de las tareas a realizar.;VERDADERO
19;MANUAL DE TELETRABAJO;El Manual de Teletrabajo tiene como objetivo regular las medidas destinadas a evitar las enfermedades profesionales y accidentes de trabajo, de acuerdo a las características y riesgos de las tareas a realizar.;FALSO
19;TELETRABAJO;"Desde el punto de vista económico de la empresa, las ventajas del Teletrabajo son: más vida familiar; menor estrés; más tiempo libre, horario flexible y mejor calidad de vida.";FALSO
19;TELETRABAJO;El Teletrabajo es una herramienta esencial para mejorar los procesos de negocio de la organización.;FALSO
19;TELETRABAJO;"El Teletrabajo es una herramienta útil para mejorar el ejercicio de cualquier profesión, sustituyendo ""obligación"" por ""responsabilidad"". Es una modalidad más racional de trabajo, que permite recuperar la profesionalidad y la especialización en el trabajo autónomo e independiente.";VERDADERO
19;TELETRABAJO;El Teletrabajo hace referencia al trabajo de oficina relacionado al tele-marketing o venta telefónica.;FALSO
19;TELETRABAJO;El Teletrabajo se refiere al trabajo a distancia lejos del centro de trabajo físico habitual. Generalmente se utiliza en los trabajos que no requieran de la presencia del trabajador en la oficina.;VERDADERO
19;TELETRABAJO;En general las iniciativas de Teletrabajo presentan un bajo nivel de riesgo, si se contemplan apropiadamente aspectos propios del resguardo de la información y la productividad.;VERDADERO
19;TELETRABAJO;Entre los beneficios del Teletrabajo para la empresa podemos encontrar: menores costos edilicios, menos problemas de convivencia entre empleados, eliminación de pérdida de horas laborables por problemas de transporte, facilidad de expansión geográfica y mejor aprovechamiento de los puestos de trabajo, que pueden ser compartidos por distintos trabajadores.;VERDADERO
19;TELETRABAJO;Para la implementación del Teletrabajo, se debe plantear una nueva concepción de la organización social y laboral. A su vez la organización debe contar con la tecnología adecuada para llevar a cabo esta modalidad.;VERDADERO
19;TIC Y RRHH;"El área de TIC demanda de perfiles muy disímiles. Algunos de ellos con predominio técnico: DBA, Administradores de Redes, Programadores; otros, con orientación al negocio: Analistas Funcionales, de Procesos; y con orientación a la gestión: Gerentes de Proyectos, etc.";VERDADERO
19;TIC Y RRHH;El área de TIC demanda de perfiles similares, lo cual facilita la reasignación de responsabilidades dentro del área.;FALSO
19;TIC Y RRHH;"En general, el rol del ""Líder de Proyecto"", es de los más expuestos y también el que conduce en forma más directa a posiciones gerenciales.";VERDADERO
19;TIC Y RRHH;La distinción entre los distintos perfiles requeridos en el área de TIC es tan clara que típicamente es percibida con claridad por el resto de la organización.;FALSO
19;TIC Y RRHH;La distinción entre los distintos perfiles requeridos en el área de TIC suele no ser percibida con claridad por el resto de la organización.;VERDADERO
19;TIC Y RRHH;La seguridad informática es responsabilidad indiscutible de CIO quién debe contar con los recursos necesarios para su instrumentación.;VERDADERO
19;TIC Y RRHH;"Las estructuras típicas del área de TIC se basan en agrupamientos funcionales: analistas, programadores, administradores, etc.; aunque también es común que existan profesionales asignados específicamente a ciertas áreas de la organización y que se constituyan equipos ad-hoc para cada proyecto.";VERDADERO
19;TIC Y RRHH;Las organizaciones multinacionales suelen desarrollar estructuras matriciales con un doble reporte: uno funcional o vertical y otro local, típicamente con necesidades y objetivos diferentes.;VERDADERO
19;TIC Y RRHH;Las organizaciones multinacionales suelen desarrollar estructuras matriciales con un doble reporte: uno funcional o vertical y otro local, típicamente con necesidades y objetivos perfectamente alineados.;FALSO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Cualquier cambio que deba realizarse al alcance inicial del proyecto, puede realizarse mediante un acuerdo verbal entre los representantes de TIC y los usuarios.;FALSO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Cualquier cambio que deba realizarse al alcance inicial del proyecto, sólo puede realizarse siguiendo el procedimiento de gestión de cambios donde se determina y aprueba el impacto al cronograma y los costos.;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;El número de tareas críticas, y su proporción sobre el total de las tareas, es un indicador de problemas o desviaciones en un proyecto dado.;FALSO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;El reemplazo de usuarios claves durante la marcha del proyecto, constituye un serio expuesto para su éxito.;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;El reemplazo de usuarios claves durante la marcha del proyecto, no constituye un expuesto para su éxito.;FALSO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Los acrónimos EDT y WBS hacen referencia a conceptos antagónicos.;FALSO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Los acrónimos EDT y WBS hacen referencia al mismo concepto.;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Muchos proyectos, en especial los de menor envergadura, pueden gestionarse con un diagrama de Gantt, siendo el diagrama de Pert un complemento no mandatorio;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Muchos proyectos, en especial los de menor envergadura, pueden gestionarse con un diagrama de Gantt, siendo el diagrama de Pert un complemento no mandatorio.;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Ni el número de tareas críticas, ni su proporción sobre el total de las tareas, es per se un indicador de problemas o desviaciones en un proyecto dado.;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Se entiende por EDT, Estructura de Descomposición del Trabajo, a una estructuración jerárquica de las distrintas actividades que forman parte de un proyecto;VERDADERO
20;ASPECTOS PRÁCTICOS DE LA GESTIÓN DE PROYECTOS;Una correcta gestión de proyectos, incluso de proyectos menores, demanda de diagramas de Gantt y Pert.;FALSO
20;GESTIÓN DE PROYECTOS;El PMI, Project Management Institute, ofrece programas de certificación en Gestión de Proyectos.;VERDADERO
20;GESTIÓN DE PROYECTOS;El PMI, Project Model Interactive, es una de las técnicas de Gestión de Proyectos más difundidas.;FALSO
20;GESTIÓN DE PROYECTOS;La gestión de proyectos es la aplicación de conocimientos, herramientas y técnicas sobre las actividades que conforman un proyecto para asegurar que cumpla con sus metas.;VERDADERO
20;GESTIÓN DE PROYECTOS;La Gestión de Proyectos facilita la comunicación efectiva entre todos los interesados, y funciona como respaldo para facilitar la labor del líder del Proyectos.;VERDADERO
20;GESTIÓN DE PROYECTOS;La gestión de proyectos no incluye el control de los costos y/o gastos del mismo, tarea esta del área financiera.;FALSO
20;GESTIÓN DE PROYECTOS;La Gestión de Proyectos no necesariamente facilita la comunicación entre todos los interesados, ya que la misma depende en mayor medida de las herramientas de colaboración disponibles.;FALSO
20;GESTIÓN DE PROYECTOS;Una apropiada Gestión de Proyectos asegura que el mismo cubrirá en tiempo y forma la necesidad que lo originó, minimizando los desvíos.;VERDADERO
20;GESTIÓN DE PROYECTOS;Una apropiada Gestión de Proyectos no asegura que el mismo cubrirá en tiempo y forma la necesidad que lo originó.;FALSO
21;SEGURIDAD INFORMÁTICA;Con DoS, Defence Outer System, se identifica una técnica utilizada para segurizar el posible acceso a los sistemas de la organización desde el exterior de la miama.;FALSO
21;SEGURIDAD INFORMÁTICA;El tiempo que una sesión permanece activa sin actividad y las características mínimas de las contraseñas, no son de las temáticas abordadas desde Seguridad Informática, sino desde operaciones.;FALSO
21;SEGURIDAD INFORMÁTICA;El tiempo que una sesión permanece activa sin actividad y las características mínimas de las contraseñas, son algunas de las temáticas abordadas desde Seguridad Informática.;VERDADERO
21;SEGURIDAD INFORMÁTICA;Es prácticamente imposible desviar y/o reducir potenciales intrusiones y amenazas a los sistemas de información.;FALSO
21;SEGURIDAD INFORMÁTICA;La implementación de técnicas de Seguridad Informática en forma sesgada puede introducir una sobrecarga en el ritmo habitual de trabajo de toda la organización, exigiéndose un esfuerzo adicional.;VERDADERO
21;SEGURIDAD INFORMÁTICA;La implementación de técnicas de Seguridad Informática en general no tiene impactos operacionales ni genera trabajo adicional para los usuarios.;FALSO
21;SEGURIDAD INFORMÁTICA;La Seguridad Informática se basa en la implementación de técnicas y aplicaciones con el objetivo de asegurar la integridad, privacidad, confidencialidad y la disponibilidad de los activos pertenecientes a los Sistemas de Información contra amenazas externas únicamente.;FALSO
21;SEGURIDAD INFORMÁTICA;La Seguridad Informática se basa en la implementación de técnicas y aplicaciones con el objetivo de asegurar la integridad, privacidad, confidencialidad y la disponibilidad de los activos pertenecientes a los Sistemas de Información contra amenazas internas y externas.;VERDADERO
21;SEGURIDAD INFORMÁTICA;Una adecuada implementación de Seguridad Informática, puede desviar y reducir potenciales intrusiones y amenazas a los sistemas de información.;VERDADERO
22;GESTIÓN DEL CAMBIO;El cambio asociado a un nuevo sistema informático muchas veces incluye, aunque no sea explícito, el cambio de los procesos de negocio, y es allí donde radica la mayor dificultad para realizar una transición.;VERDADERO
22;GESTIÓN DEL CAMBIO;El fenómeno de la resistencia al cambio está presente tanto en personas jóvenes como mayores, de organismos públicos y empresas privadas.;VERDADERO
22;GESTIÓN DEL CAMBIO;Existen diferentes metodologías o modelos para la Gestión del Cambio Una de ellas, ADKAR, suguiere los siguientes pasos: análisis, desarrollo, capacitación, aseguramiento y recompensa;FALSO
22;GESTIÓN DEL CAMBIO;Existen diferentes metodologías o modelos para la Gestión del Cambio. Una de ellas suguiere un abordaje según los siguientes conceptos: reingeniería de los procesos, toma de conciencia, conocimiento, aptitud y refuerzo.;FALSO
22;GESTIÓN DEL CAMBIO;Existen diferentes metodologías o modelos para la Gestión del Cambio. Una de ellas suguiere un abordaje según los siguientes conceptos: toma de conciencia, deseo, conocimiento, aptitud y refuerzo.;VERDADERO
22;GESTIÓN DEL CAMBIO;Existen diferentes metodologías o modelos para la Gestión del Cambio. Una de ellas suguiere un abordaje según los siguientes conceptos: toma de conciencia, redistribución de poder, conocimiento, aptitud y refuerzo.;FALSO
22;GESTIÓN DEL CAMBIO;Existen diferentes metodologías o modelos para la Gestión del Cambio. Una de ellas, ADKAR, suguiere los siguientes pasos: análisis, desarrollo, capacitación, aseguramiento y recompensa.;FALSO
22;GESTIÓN DEL CAMBIO;Existen diferentes metodologías o modelos para la Gestión del Cambio. Una de ellas, ADKAR, suguiere los siguientes pasos: toma de conciencia, deseo, conocimiento, aptitud y refuerzo.;VERDADERO
22;GESTIÓN DEL CAMBIO;La aceptación de una solución informática depende en gran medida de cómo se haya gestionado su implantación, conjunto de técnicas conocidas como Gestión del Cambio.;VERDADERO
22;GESTIÓN DEL CAMBIO;La aceptación de una solución informática depende en gran medida del tipo de tecnología usada.;FALSO
22;GESTIÓN DEL CAMBIO;La capacitación y la comunicación son elementos accesorios en los procesos de Gestión del Cambio.;FALSO
22;GESTIÓN DEL CAMBIO;La capacitación y la comunicación son elementos centrales en los procesos de Gestión del Cambio.;VERDADERO
22;GESTIÓN DEL CAMBIO;La reingeniería de procesos se focaliza en el rediseño de muy pocos procesos, pero centrales a la competitividad de la organización.;VERDADERO
22;GESTIÓN DEL CAMBIO;Las modificaciones a los procesos de negocio que pueden acompañar a la implantación de un nuevo sistema informático, no suelen ser causas de resistencia al cambio.;FALSO
22;GESTIÓN DEL CAMBIO;Los cambios de procesos que muchas veces acompañan a las soluciones informáticas, conllevan reducciones de discrecionalidad y cambios en la estructura de poder, y son consecuentemente una de las principales causas de la resistencia al cambio.;VERDADERO
22;GESTIÓN DEL CAMBIO;Los cambios de procesos que muchas veces acompañan a las soluciones informáticas, no son las principales causas de la resistencia al cambio.;FALSO
22;GESTIÓN DEL CAMBIO;Los procesos de mejora continua, ofrecen mejoras incrementales pero sustancialmente menores a los procesos de reingeniería.;VERDADERO
23;GESTIÓN DE LA INNOVACIÓN;"La creatividad e innovación a su vez requiren distantas instancias o fases. Por ejemplo: cuestionamiento y preparación; incubación e iluminación; y verificación adaptación y difusión.";VERDADERO
23;GESTIÓN DE LA INNOVACIÓN;La Gestión de la Innovación es la organización de los recursos, con el fin de aumentar, entre otras, la creación de nuevos conocimientos y la generación de ideas técnicas que permitan obtener nuevos productos, procesos y servicios, o mejorar los existentes.;VERDADERO
23;GESTIÓN DE LA INNOVACIÓN;La Gestión de la Innovación es la organización de los recursos, con el fin de aumentar, entre otras, la creación de nuevos conocimientos, y la transferencia a las fases de producción, distribución y uso.;VERDADERO
23;GESTIÓN DE LA INNOVACIÓN;La innovación puede concebirse como un proceso donde la organización no puede intervenir activamente.;FALSO
23;GESTIÓN DE LA INNOVACIÓN;La innovación puede concebirse como un proceso donde la organización puede intervenir activamente.;VERDADERO
23;GESTIÓN DE LA INNOVACIÓN;Los procesos de Gestión de la Innovación, aún cuando sean rigosamente ejecutados, no pueden garantizar resultados económicos.;VERDADERO
23;GESTIÓN DE LA INNOVACIÓN;Un poceso de Gestión de la Innovación típico puede incluir los siguientes conceptos: el plan estratégico tecnológico, creatividad e innovación, vigilancia tecnológica, gestión de proyectos tecnológicos y de innovación, la financiación, aseguramiento, explotación, y la gestión del conocimiento.;VERDADERO
24;NUEVAS TECNOLOGÍAS;Cuanto más nuevas son las tecnologías y/o las aplicaciones que con ellas se hacen, mayor es el nivel de riesgo involucrado.;VERDADERO
24;NUEVAS TECNOLOGÍAS;"El Gartner Group propone un modelo conocido como Hype Cycle para describir la evolución de las nuevas tecnologías en cuanto a su ""disponibilidad"" y al ""nivel de riesgo"".";FALSO
24;NUEVAS TECNOLOGÍAS;El Gartner Group propone un modelo conocido como Hype Cycle para describir la evolución de las nuevas tecnologías en cuanto a su visibilidad y al nivel de madurez.;VERDADERO
24;NUEVAS TECNOLOGÍAS;El nivel de riesgo involucrado por la aplicación de nuevas tecnologías, debe ser evaluado en función de la aversión/predisposición al mismo, por parte de la organización.;VERDADERO
24;NUEVAS TECNOLOGÍAS;La incorporación prematura de tecnologías no maduras, no conlleva un expuesto profesional para el CIO, ya que las organizaciones típicamente aceptan que algunas de las tecnologías implantadas no den los resultados esperados.;FALSO
24;NUEVAS TECNOLOGÍAS;La incorporación prematura de tecnologías no maduras, normalmente conlleva mayores costos y un expuesto profesional para el CIO, especialmente si los riesgos no fueron evaluados y aceptados por la dirección.;VERDADERO
25;ASPECTOS ÉTICOS Y LEGALES;En Argentina existen las Leyes 25.326, 26.338 y 25.922, relacionadas a la Protección de Datos Personales, a los Delitos Informáticos y a la promoción de la Promoción de Industria del Software.;VERDADERO
25;ASPECTOS ÉTICOS Y LEGALES;En Argentina existen leyes relacionadas a la Protección de Datos Personales y a los Delitos Informáticos pero aún no se ha avanzado con una ley para la Promoción de Industria del Software.;FALSO
25;ASPECTOS ÉTICOS Y LEGALES;La legislación relativa al uso de las TIC cuenta con amplia jurisprudencia, lo que hace que dichas cuestiones tengan un alto grado certidumbre, minimizando el efecto de la valoración interpretativa por parte de la justicia.;FALSO
25;ASPECTOS ÉTICOS Y LEGALES;La legislación relativa al uso de las TIC es reciente, no completamente desarrollada y con poca jurisprudencia, lo que hace que dichas cuestiones tengan un alto grado de valoración interpretativa y circunstancial por parte de la justicia.;VERDADERO
25;ASPECTOS ÉTICOS Y LEGALES;Los convenios de confidencialidad, las normas de conducta comercial, las normas de uso de los sistemas informáticos, etc le proveen a la empresa de un marco para aplicar sanciones, incluso el despido con causa, en caso de incumplimiento por parte del empleado;VERDADERO
